"","graph.type","measure","average","std.dev"
"491","rank.random","degree",0.0404040404040404,0.0156615840899492
"492","rank.random","degree",0.0404040404040404,0.0139934244881083
"493","rank.random","degree",0.0404040404040404,0.014499809344753
"494","rank.random","degree",0.0404040404040404,0.0150576968181804
"495","rank.random","degree",0.0404040404040404,0.0142849854785161
"496","rank.random","degree",0.0404040404040404,0.0148509451738086
"497","rank.random","degree",0.0404040404040404,0.0136201992416817
"498","rank.random","degree",0.0404040404040404,0.0138453417543907
"499","rank.random","degree",0.0404040404040404,0.0142126559733626
"500","rank.random","degree",0.0404040404040404,0.0141399564890739
"501","rank.random","closeness",0.288861540325799,0.0247304888691113
"502","rank.random","closeness",0.289105705025926,0.0216398505080183
"503","rank.random","closeness",0.292741255466625,0.0239744244912474
"504","rank.random","closeness",0.289517122586692,0.0227392606090683
"505","rank.random","closeness",0.287671063072863,0.0195377763532554
"506","rank.random","closeness",0.292218151401676,0.0234758070733282
"507","rank.random","closeness",0.291979692440825,0.0210321078233361
"508","rank.random","closeness",0.290463040595852,0.0247246643317421
"509","rank.random","closeness",0.292957251013225,0.025042278670337
"510","rank.random","closeness",0.29287434264843,0.0223057684100534
"511","rank.random","closeness",0.287521357835085,0.0245205596201975
"512","rank.random","closeness",0.291372890753018,0.0245738624536956
"513","rank.random","closeness",0.295513321928988,0.0236038785194118
"514","rank.random","closeness",0.292681425769734,0.0231560291709229
